"Plot Title: V3"
"#","Date Time, GMT-03:00","Volt, V (LGR S/N: 10453365, SEN S/N: 10453365)","Host Connected (LGR S/N: 10453365)","Stopped (LGR S/N: 10453365)","End Of File (LGR S/N: 10453365)"
508,10/19/19 07:50:51 AM,2.21001,,,
509,10/19/19 07:52:51 AM,2.21062,,,
510,10/19/19 07:54:51 AM,2.21001,,,
511,10/19/19 07:56:51 AM,2.21001,,,
512,10/19/19 07:58:51 AM,2.21001,,,
513,10/19/19 08:00:51 AM,2.21001,,,
514,10/19/19 08:02:51 AM,2.21001,,,
515,10/19/19 08:04:51 AM,2.21001,,,
516,10/19/19 08:06:51 AM,2.21001,,,
517,10/19/19 08:08:51 AM,2.21062,,,
518,10/19/19 08:10:51 AM,2.21001,,,
519,10/19/19 08:12:51 AM,2.21001,,,
520,10/19/19 08:14:51 AM,2.21062,,,
521,10/19/19 08:16:51 AM,2.21001,,,
522,10/19/19 08:18:51 AM,2.21001,,,
523,10/19/19 08:20:51 AM,2.21001,,,
524,10/19/19 08:22:51 AM,2.21001,,,
525,10/19/19 08:24:51 AM,2.21001,,,
526,10/19/19 08:26:51 AM,2.21062,,,
527,10/19/19 08:28:51 AM,2.21001,,,
528,10/19/19 08:30:51 AM,2.21001,,,
